State,Period,Depression_Score,Anxiety_Score,Mix_Score
Alabama,1,18.6,25.6,30.3
Alaska,1,19.2,27.7,31.5
Arizona,1,22.4,32.3,36.4
Arkansas,1,26.6,33.7,38.0
California,1,25.4,30.8,37.4
Colorado,1,22.0,32.6,35.9
Connecticut,1,24.4,34.9,40.2
Delaware,1,21.1,29.9,34.7
District of Columbia,1,26.4,31.4,37.6
Florida,1,22.5,32.6,36.8
Georgia,1,25.6,31.9,36.2
Hawaii,1,20.0,32.3,37.0
Idaho,1,20.6,26.9,33.3
Illinois,1,23.3,31.1,36.6
Indiana,1,26.4,31.8,37.8
Iowa,1,16.5,22.5,28.2
Kansas,1,22.1,26.4,32.5
Kentucky,1,23.2,31.6,36.4
Louisiana,1,28.1,34.4,38.9
Maine,1,19.5,29.5,34.3
Maryland,1,20.9,27.7,32.9
Massachusetts,1,25.9,37.0,40.6
Michigan,1,25.5,32.5,39.4
Minnesota,1,20.4,28.5,32.4
Mississippi,1,22.9,30.3,34.5
Missouri,1,21.0,30.4,35.2
Montana,1,18.2,22.8,27.3
Nebraska,1,19.1,24.2,28.6
Nevada,1,23.6,31.4,34.8
New Hampshire,1,19.5,31.3,34.8
New Jersey,1,23.6,31.4,37.6
New Mexico,1,22.4,27.9,34.6
New York,1,28.7,36.1,41.4
North Carolina,1,21.1,30.0,34.6
North Dakota,1,17.0,21.7,27.7
Ohio,1,21.2,31.1,35.1
Oklahoma,1,20.8,28.6,34.1
Oregon,1,22.5,31.5,36.8
Pennsylvania,1,24.7,31.0,35.1
Rhode Island,1,24.5,27.6,34.4
South Carolina,1,21.6,27.8,33.3
South Dakota,1,17.5,22.1,25.6
Tennessee,1,22.2,28.2,33.4
Texas,1,24.4,29.7,34.9
Utah,1,22.9,28.9,34.7
Vermont,1,20.7,30.6,33.9
Virginia,1,21.5,28.5,33.7
Washington,1,22.1,30.6,35.0
West Virginia,1,23.4,28.8,34.3
Wisconsin,1,22.0,27.1,31.1
Wyoming,1,18.9,24.9,31.0
Alabama,2,22.5,27.2,30.6
Alaska,2,25.1,27.4,35.7
Arizona,2,25.3,34.2,38.4
Arkansas,2,24.5,29.1,33.0
California,2,22.8,31.4,34.4
Colorado,2,23.6,29.7,32.2
Connecticut,2,21.5,29.1,36.0
Delaware,2,23.3,24.9,31.6
District of Columbia,2,30.3,36.2,40.6
Florida,2,24.8,27.6,33.6
Georgia,2,25.6,29.5,34.3
Hawaii,2,16.8,20.4,27.1
Idaho,2,17.0,25.0,29.2
Illinois,2,29.2,35.7,41.8
Indiana,2,19.9,31.5,34.9
Iowa,2,18.1,20.3,26.1
Kansas,2,16.7,25.1,28.0
Kentucky,2,25.6,29.6,37.7
Louisiana,2,30.0,34.6,42.8
Maine,2,17.1,28.9,32.9
Maryland,2,24.6,30.1,34.6
Massachusetts,2,18.9,28.7,31.0
Michigan,2,23.4,27.0,33.4
Minnesota,2,18.4,22.9,27.2
Mississippi,2,35.5,38.3,48.4
Missouri,2,24.1,37.8,41.3
Montana,2,20.8,24.9,27.6
Nebraska,2,21.6,29.6,33.4
Nevada,2,31.2,34.0,38.1
New Hampshire,2,23.3,30.4,35.0
New Jersey,2,26.4,36.3,39.6
New Mexico,2,29.0,30.2,39.8
New York,2,29.2,33.0,36.9
North Carolina,2,20.2,25.9,28.1
North Dakota,2,20.2,25.4,28.6
Ohio,2,26.4,26.4,32.8
Oklahoma,2,20.7,27.2,31.0
Oregon,2,17.8,26.2,29.9
Pennsylvania,2,23.0,28.4,32.0
Rhode Island,2,22.8,26.9,33.8
South Carolina,2,25.6,27.9,33.1
South Dakota,2,20.5,26.1,29.8
Tennessee,2,21.7,29.6,34.7
Texas,2,25.7,32.4,35.9
Utah,2,22.6,26.0,30.4
Vermont,2,26.8,31.8,35.7
Virginia,2,20.6,26.8,30.6
Washington,2,22.9,28.5,35.0
West Virginia,2,31.8,34.6,39.0
Wisconsin,2,22.9,25.6,29.7
Wyoming,2,18.6,22.5,27.9
Alabama,3,19.6,20.7,25.2
Alaska,3,23.6,26.2,32.7
Arizona,3,20.0,29.0,32.1
Arkansas,3,28.9,28.7,35.2
California,3,28.7,32.3,38.8
Colorado,3,23.7,27.6,33.1
Connecticut,3,20.2,28.7,33.9
Delaware,3,21.8,26.6,31.8
District of Columbia,3,25.9,33.3,37.3
Florida,3,24.3,28.2,33.5
Georgia,3,24.8,27.6,33.6
Hawaii,3,21.3,24.1,29.1
Idaho,3,18.1,24.0,27.6
Illinois,3,24.3,28.5,35.2
Indiana,3,24.5,32.6,37.3
Iowa,3,18.6,19.0,23.8
Kansas,3,21.2,26.7,31.1
Kentucky,3,22.8,27.7,35.5
Louisiana,3,26.5,27.9,34.2
Maine,3,25.6,30.6,34.2
Maryland,3,20.8,28.3,32.7
Massachusetts,3,22.8,27.4,32.0
Michigan,3,27.9,28.5,35.0
Minnesota,3,20.0,27.1,29.7
Mississippi,3,36.4,36.1,44.3
Missouri,3,24.3,30.4,35.4
Montana,3,21.1,25.7,29.7
Nebraska,3,20.4,23.3,26.2
Nevada,3,26.9,29.0,36.9
New Hampshire,3,20.3,25.2,28.8
New Jersey,3,26.9,34.4,39.3
New Mexico,3,28.4,29.6,37.4
New York,3,23.8,26.8,34.9
North Carolina,3,22.6,28.4,32.2
North Dakota,3,22.5,26.2,31.9
Ohio,3,27.0,26.2,33.9
Oklahoma,3,25.7,25.2,29.8
Oregon,3,22.7,24.2,31.7
Pennsylvania,3,19.8,25.8,30.0
Rhode Island,3,18.8,23.9,26.2
South Carolina,3,25.3,28.5,31.3
South Dakota,3,22.7,22.3,27.8
Tennessee,3,25.6,24.8,32.5
Texas,3,24.9,28.8,34.8
Utah,3,21.2,26.1,30.3
Vermont,3,19.0,25.8,29.6
Virginia,3,25.4,26.8,32.2
Washington,3,23.2,28.9,33.0
West Virginia,3,27.0,29.3,34.3
Wisconsin,3,20.3,23.4,28.0
Wyoming,3,20.7,24.1,28.0
Alabama,4,20.9,25.2,28.8
Alaska,4,26.8,31.6,36.4
Arizona,4,25.1,29.3,35.5
Arkansas,4,23.8,28.6,33.8
California,4,26.9,30.4,36.2
Colorado,4,25.5,28.8,33.5
Connecticut,4,21.0,24.7,28.0
Delaware,4,22.7,24.2,31.1
District of Columbia,4,20.9,29.9,34.2
Florida,4,28.6,34.1,39.1
Georgia,4,27.7,32.6,37.5
Hawaii,4,18.5,19.6,26.6
Idaho,4,18.9,22.1,24.8
Illinois,4,24.2,30.3,35.6
Indiana,4,24.8,30.5,35.2
Iowa,4,17.6,20.6,25.9
Kansas,4,25.2,30.1,33.2
Kentucky,4,23.2,30.8,34.7
Louisiana,4,31.1,36.0,41.4
Maine,4,18.5,24.5,27.8
Maryland,4,22.9,25.8,31.6
Massachusetts,4,20.3,25.5,29.5
Michigan,4,25.1,27.5,32.8
Minnesota,4,17.7,22.8,26.1
Mississippi,4,27.7,31.9,37.8
Missouri,4,24.3,29.0,32.9
Montana,4,22.2,24.3,30.7
Nebraska,4,17.2,22.6,28.1
Nevada,4,27.1,35.6,40.7
New Hampshire,4,22.2,24.6,31.1
New Jersey,4,22.9,26.2,31.1
New Mexico,4,28.7,35.4,39.1
New York,4,23.7,30.6,34.4
North Carolina,4,22.1,27.5,32.3
North Dakota,4,19.8,22.1,28.1
Ohio,4,27.4,29.8,34.6
Oklahoma,4,27.5,27.3,32.8
Oregon,4,24.2,32.1,35.3
Pennsylvania,4,25.9,28.0,33.9
Rhode Island,4,21.4,30.6,33.8
South Carolina,4,21.7,27.0,32.2
South Dakota,4,25.8,30.4,36.3
Tennessee,4,22.5,29.6,33.1
Texas,4,28.8,32.6,37.7
Utah,4,24.9,25.5,31.9
Vermont,4,19.4,23.3,28.8
Virginia,4,22.3,28.7,33.1
Washington,4,22.2,26.8,31.8
West Virginia,4,22.0,34.5,37.9
Wisconsin,4,20.8,24.7,28.9
Wyoming,4,18.8,24.0,28.3
Alabama,5,28.4,31.6,37.5
Alaska,5,24.4,26.1,31.6
Arizona,5,23.9,27.9,32.6
Arkansas,5,28.9,35.3,39.0
California,5,26.9,33.8,38.6
Colorado,5,23.9,29.4,33.6
Connecticut,5,25.4,26.7,35.1
Delaware,5,20.7,26.2,30.3
District of Columbia,5,21.3,28.2,33.0
Florida,5,29.6,33.8,40.0
Georgia,5,24.5,31.7,34.9
Hawaii,5,17.0,20.7,26.1
Idaho,5,23.8,28.3,31.8
Illinois,5,26.9,31.3,37.0
Indiana,5,25.6,31.5,36.2
Iowa,5,22.6,27.8,32.9
Kansas,5,23.1,28.3,32.0
Kentucky,5,28.5,33.3,39.0
Louisiana,5,26.8,31.0,36.3
Maine,5,18.5,25.2,29.3
Maryland,5,21.9,26.1,30.8
Massachusetts,5,20.3,26.7,29.9
Michigan,5,25.9,29.0,34.5
Minnesota,5,19.1,27.5,30.0
Mississippi,5,28.6,33.8,38.7
Missouri,5,24.5,30.1,33.7
Montana,5,20.5,22.6,28.6
Nebraska,5,18.2,22.2,26.6
Nevada,5,20.2,30.3,34.2
New Hampshire,5,22.6,26.7,31.8
New Jersey,5,25.8,31.8,36.5
New Mexico,5,24.3,37.1,39.5
New York,5,24.5,29.8,34.8
North Carolina,5,22.3,29.6,33.0
North Dakota,5,19.3,18.4,26.0
Ohio,5,28.1,29.6,37.0
Oklahoma,5,31.8,31.7,38.6
Oregon,5,27.6,35.3,39.5
Pennsylvania,5,24.6,31.4,35.1
Rhode Island,5,22.3,30.8,34.0
South Carolina,5,28.8,29.2,35.6
South Dakota,5,20.0,26.3,29.7
Tennessee,5,22.9,30.4,33.6
Texas,5,26.2,31.1,36.9
Utah,5,22.3,29.7,34.5
Vermont,5,23.5,31.8,35.3
Virginia,5,21.4,28.3,31.4
Washington,5,27.1,31.7,36.7
West Virginia,5,26.2,33.6,38.9
Wisconsin,5,17.7,22.7,26.7
Wyoming,5,25.2,25.3,32.9
Alabama,6,27.7,33.7,36.9
Alaska,6,21.5,26.2,35.2
Arizona,6,26.5,30.8,36.8
Arkansas,6,26.5,31.6,38.2
California,6,28.6,33.7,39.7
Colorado,6,23.9,30.9,34.7
Connecticut,6,20.7,27.7,32.8
Delaware,6,25.3,28.5,33.0
District of Columbia,6,25.9,33.0,39.5
Florida,6,30.2,34.8,40.7
Georgia,6,25.6,32.7,35.7
Hawaii,6,19.5,20.7,27.5
Idaho,6,19.2,28.6,32.0
Illinois,6,27.9,34.2,39.5
Indiana,6,22.2,28.7,32.1
Iowa,6,25.7,31.9,34.9
Kansas,6,28.6,29.9,36.6
Kentucky,6,25.5,33.0,37.6
Louisiana,6,28.4,32.5,36.5
Maine,6,20.6,31.5,35.4
Maryland,6,18.4,22.8,26.9
Massachusetts,6,21.8,26.1,31.0
Michigan,6,19.1,24.6,28.1
Minnesota,6,19.7,27.5,31.0
Mississippi,6,29.6,31.9,38.4
Missouri,6,23.1,23.2,29.5
Montana,6,17.5,26.4,30.4
Nebraska,6,21.7,23.5,31.0
Nevada,6,27.6,33.3,38.5
New Hampshire,6,26.2,31.7,35.1
New Jersey,6,21.8,30.7,33.8
New Mexico,6,23.7,28.6,34.7
New York,6,28.5,36.3,38.6
North Carolina,6,21.6,33.3,36.2
North Dakota,6,14.7,20.2,23.0
Ohio,6,26.4,30.6,36.9
Oklahoma,6,24.7,28.9,33.7
Oregon,6,27.1,35.0,40.5
Pennsylvania,6,24.7,29.2,33.9
Rhode Island,6,19.0,26.6,29.2
South Carolina,6,25.0,23.7,31.4
South Dakota,6,21.2,25.6,29.8
Tennessee,6,27.2,30.6,38.0
Texas,6,30.3,33.0,39.6
Utah,6,25.3,28.0,34.1
Vermont,6,25.1,29.8,33.7
Virginia,6,27.5,29.5,36.5
Washington,6,21.4,29.4,31.9
West Virginia,6,27.9,35.8,38.9
Wisconsin,6,19.5,25.3,28.3
Wyoming,6,20.9,21.3,29.4
Alabama,7,26.7,33.9,38.1
Alaska,7,23.5,33.3,36.5
Arizona,7,25.0,25.6,33.3
Arkansas,7,29.6,33.7,39.0
California,7,27.2,33.7,37.9
Colorado,7,22.1,29.8,33.5
Connecticut,7,25.5,35.1,38.7
Delaware,7,24.4,30.2,34.7
District of Columbia,7,16.3,25.9,28.9
Florida,7,28.1,37.4,41.8
Georgia,7,25.7,33.3,37.1
Hawaii,7,26.8,31.7,35.3
Idaho,7,14.3,26.0,27.8
Illinois,7,24.8,31.0,34.6
Indiana,7,26.6,33.8,39.3
Iowa,7,22.4,26.1,31.6
Kansas,7,24.6,30.5,37.1
Kentucky,7,22.6,26.6,31.9
Louisiana,7,34.5,38.4,43.5
Maine,7,23.7,32.2,37.9
Maryland,7,27.9,34.6,38.3
Massachusetts,7,17.0,27.3,29.2
Michigan,7,21.4,30.2,32.4
Minnesota,7,19.9,28.0,30.5
Mississippi,7,24.8,31.6,37.5
Missouri,7,26.1,33.3,36.5
Montana,7,21.8,30.6,34.2
Nebraska,7,20.3,24.1,29.7
Nevada,7,30.4,33.5,37.9
New Hampshire,7,21.7,28.1,33.4
New Jersey,7,26.9,33.5,38.7
New Mexico,7,18.8,22.7,25.5
New York,7,23.4,28.7,32.9
North Carolina,7,23.9,30.0,36.2
North Dakota,7,23.4,30.3,33.6
Ohio,7,26.8,31.5,35.6
Oklahoma,7,22.5,30.9,34.9
Oregon,7,31.1,39.8,43.5
Pennsylvania,7,25.5,28.4,35.0
Rhode Island,7,24.1,25.5,32.2
South Carolina,7,28.1,30.6,35.5
South Dakota,7,19.2,24.5,28.0
Tennessee,7,21.5,28.7,31.7
