Period,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,State
1.0,450511.64285714284,1020539.0714285714,4178640.6428571427,1255447.2142857143,1178251.7142857143,535443.5,564533.4285714285,407808.78571428574,165550.5,50305.642857142855,13380.428571428572,2892.4285714285716,5027.0,AK
1.0,2002933.285714286,7772808.714285715,28729521.57142857,6438668.0,7238696.714285715,3857363.714285714,4625890.428571429,4351110.714285715,1471003.0,512474.5714285715,188314.0,38929.571428571435,7070.857142857143,AL
1.0,1256113.4285714286,4771536.571428572,17873708.42857143,4187626.2857142854,4710510.0,2270101.8571428573,2742576.4285714286,2552544.7142857146,890849.1428571428,350610.4285714286,136967.57142857142,27084.571428571428,4837.428571428571,AR
1.0,4053294.2857142854,10289997.714285715,36598259.42857143,10454104.142857142,8863114.142857142,4175298.428571429,5066724.857142857,5309305.285714285,1735046.0,590858.4285714286,325965.14285714284,53979.142857142855,23863.857142857145,AZ
1.0,22690345.85714286,56423744.14285714,185229838.85714287,49201313.5,48906256.92857143,21165550.5,25483745.07142857,25508942.42857143,9832472.285714285,3499674.5,1256479.9285714286,277883.85714285716,97519.85714285713,CA
1.0,3365419.9285714286,8025708.071428571,37719685.78571428,10568928.142857142,9585191.785714285,4379401.5,5426335.5,5271167.5,1570587.642857143,584141.0714285714,234554.85714285716,63298.57142857142,36079.21428571428,CO
1.0,1943755.285714286,5201574.714285715,21886628.42857143,5602532.857142856,5943558.714285715,2737910.571428572,3180710.5714285714,3095193.0,982419.0,260768.71428571432,51583.857142857145,12388.857142857141,19562.285714285714,CT
1.0,556062.1428571428,848847.8571428572,4775589.0,1774028.7142857143,1209534.1428571427,630325.2857142857,658710.142857143,386537.85714285716,82716.85714285714,18492.285714285714,6390.857142857143,4604.571428571428,4248.285714285715,DC
1.0,514059.4285714286,1420282.5714285714,5988692.142857143,1549736.8571428573,1556759.7142857143,745938.4285714286,921051.0,823648.7142857143,287516.5714285714,79999.28571428571,20587.285714285717,1956.857142857143,1497.4285714285716,DE
1.0,10224050.714285715,32374599.285714287,121398283.85714287,32801784.428571425,32061939.14285714,15325233.42857143,18280856.0,15911151.142857142,4802818.714285715,1422881.0,595467.4285714286,137915.14285714284,58237.428571428565,FL
1.0,4956198.5,16082751.5,65445970.21428572,15592568.285714287,16565900.642857144,8151399.357142856,10307224.0,9545189.92857143,3450443.5,1109062.5714285714,556051.0714285714,133735.14285714284,34395.71428571429,GA
1.0,805755.1428571428,2035138.8571428573,6667064.428571429,2023215.3571428573,1827220.7142857143,746238.7857142857,922720.3571428572,979613.2857142857,127070.35714285713,28830.142857142855,6730.714285714286,2584.2857142857147,2840.4285714285716,HI
1.0,1591180.5714285714,4721109.428571428,20376675.42857143,5319694.428571429,5373096.714285715,2378125.571428572,2811228.8571428573,2808984.7142857146,1066089.5714285714,407800.2857142857,176607.28571428574,28350.857142857145,6697.142857142857,IA
