State,Period,Depression_Score,Anxiety_Score,Mix_Score,deathIncrease,death,hospitalizedCurrently,positiveCasesIncrease,positiveCasesViral,totalTestsPeopleViralIncrease,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
AL,1,18.6,25.6,30.3,9.666666666666666,251.23076923076923,452.61538461538464,4510.416666666667,81094.23076923077,0.0,28041066.0,108819322.0,402213302.0,90141352.0,101341754.0,54003092.0,64762466.0,60915550.0,20594042.0,7174644.0,2636396.0,545014.0,98992.0
AK,1,19.2,27.7,31.5,0.0,9.0,19.615384615384617,877.5833333333334,18127.0,0.0,6307163.0,14287547.0,58500969.0,17576261.0,16495524.0,7496209.0,7903468.0,5709323.0,2317707.0,704279.0,187326.0,40494.0,70378.0
AZ,1,22.4,32.3,36.4,12.166666666666666,311.15384615384613,707.0,2463.5833333333335,71447.53846153847,2435.3076923076924,56746120.0,144059968.0,512375632.0,146357458.0,124083598.0,58454178.0,70934148.0,74330274.0,24290644.0,8272018.0,4563512.0,755708.0,334094.0
AR,1,26.6,33.7,38.0,3.1666666666666665,60.38461538461539,98.53846153846153,1920.4166666666667,44836.230769230766,0.0,17585588.0,66801512.0,250231918.0,58626768.0,65947140.0,31781426.0,38396070.0,35735626.0,12471888.0,4908546.0,1917546.0,379184.0,67724.0
CA,1,25.4,30.8,37.4,70.66666666666667,1911.923076923077,4833.615384615385,24817.083333333332,611649.3846153846,0.0,317664842.0,789932418.0,2593217744.0,688818389.0,684687597.0,296317707.0,356772431.0,357125194.0,137654612.0,48995443.0,17590719.0,3890374.0,1365278.0
CO,1,22.0,32.6,35.9,29.25,754.6923076923077,955.9230769230769,2804.3333333333335,70114.15384615384,2717.769230769231,47115879.0,112359913.0,528075601.0,147964994.0,134192685.0,61311621.0,75968697.0,73796345.0,21988227.0,8177975.0,3283768.0,886180.0,505109.0
CT,1,24.4,34.9,40.2,82.83333333333333,2149.4615384615386,1688.7692307692307,3227.0833333333335,89617.76923076923,0.0,27212574.0,72822046.0,306412798.0,78435460.0,83209822.0,38330748.0,44529948.0,43332702.0,13753866.0,3650762.0,722174.0,173444.0,273872.0
GA,1,25.6,31.9,36.2,34.666666666666664,1061.923076923077,1414.0,7445.25,147956.53846153847,0.0,69386779.0,225158521.0,916243583.0,218295956.0,231922609.0,114119591.0,144301136.0,133632659.0,48306209.0,15526876.0,7784715.0,1872292.0,481540.0
ID,1,20.6,26.9,33.3,0.8333333333333334,59.15384615384615,33.84615384615385,914.5,24804.615384615383,921.2307692307693,13015587.0,36102237.0,137679466.0,36716912.0,36943774.0,16505335.0,19481151.0,17326235.0,6310327.0,2742613.0,1336314.0,246121.0,70684.0
IL,1,23.3,31.1,36.6,95.83333333333333,2238.6153846153848,4768.384615384615,2601.1666666666665,58447.71428571428,0.0,101478728.0,255271512.0,1105524520.0,303787180.0,281262734.0,129732696.0,157270022.0,154502278.0,53566744.0,14939736.0,7793180.0,1972614.0,697336.0
