State,Pop,density
California,39937500,256.3728
Texas,29472300,112.8204
Florida,21993000,410.1259
New York,19440500,412.5218
Pennsylvania,12820900,286.5454
Illinois,12659700,228.0246
Ohio,11747700,287.504
Georgia,10736100,186.6726
North Carolina,10611900,218.271
Michigan,10045000,177.665
New Jersey,8936570,1215.1985
Virginia,8626210,218.4404
Washington,7797100,117.3273
Arizona,7378490,64.9549
Massachusetts,6976600,894.4359
Tennessee,6897580,167.2749
Indiana,6745350,188.2809
Missouri,6169270,89.7453
Maryland,6083120,626.6735
Wisconsin,5851750,108.0496
Colorado,5845530,56.4012
Minnesota,5700670,71.5922
South Carolina,5210100,173.3176
Alabama,4908620,96.9221
Louisiana,4645180,107.5174
Kentucky,4499690,113.9566
Oregon,4301090,44.8086
Oklahoma,3954820,57.6546
Connecticut,3563080,735.8695
Utah,3282120,39.943
Iowa,3179850,56.9284
Nevada,3139660,28.5993
Arkansas,3039000,58.403
Puerto Rico,3032160,876.6002
Mississippi,2989260,63.7056
Kansas,2910360,35.5968
New Mexico,2096640,17.285
Nebraska,1952570,25.4161
Idaho,1826160,22.097
West Virginia,1778070,73.9691
Hawaii,1412690,219.9424
New Hampshire,1371250,153.161
Maine,1345790,43.6336
Montana,1086760,7.4668
Rhode Island,1056160,1021.4313
Delaware,982895,504.3073
South Dakota,903027,11.9116
North Dakota,761723,11.0393
Alaska,734002,1.2863
District of Columbia,720687,11814.541
Vermont,628061,68.1416
Wyoming,567025,5.84
